Doseljeno i odseljeno stanovništvo po gradovima/op?inama

"Prostorna jedinica;""2011 Doseljeni iz inozemstva"";""2015 Doseljeni iz inozemstva"";""2018 Doseljeni iz inozemstva"""
ZAGREBA?KA ŽUPANIJA;520;652;1741
KRAPINSKO-ZAGORSKA ŽUPANIJA;78;118;314
SISA?KO-MOSLAVA?KA ŽUPANIJA;266;361;795
KARLOVA?KA ŽUPANIJA;122;257;680
VARAŽDINSKA ŽUPANIJA;140;203;718
KOPRIVNI?KO-KRIŽEVA?KA ŽUPANIJA;73;90;271
BJELOVARSKO-BILOGORSKA ŽUPANIJA;104;117;217
PRIMORSKO-GORANSKA ŽUPANIJA;727;1049;2278
LI?KO-SENJSKA ŽUPANIJA;146;147;328
VIROVITI?KO-PODRAVSKA ŽUPANIJA;66;99;180
POŽEŠKO-SLAVONSKA ŽUPANIJA;57;125;299
BRODSKO-POSAVSKA ŽUPANIJA;248;300;807
ZADARSKA ŽUPANIJA;563;612;1289
OSJE?KO-BARANJSKA ŽUPANIJA;401;470;879
ŠIBENSKO-KNINSKA ŽUPANIJA;246;415;770
VUKOVARSKO-SRIJEMSKA ŽUPANIJA;311;434;820
SPLITSKO-DALMATINSKA ŽUPANIJA;1226;1828;2952
ISTARSKA ŽUPANIJA;606;1076;2765
DUBROVA?KO-NERETVANSKA ŽUPANIJA;503;465;1016
ME?IMURSKA ŽUPANIJA;88;130;512
GRAD ZAGREB;2043;2758;6398
